SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,Remarks
7,04/07/2017,Droom,eCommerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,"20,000,000",
8,05/07/2017,Jumbotail,eCommerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,"8,500,000",
9,05/07/2017,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,"12,000,000",
20,12/07/2017,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,,
24,14/07/2017,Chumbak,eCommerce,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,"1,700,000",
26,17/07/2017,Vayana,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,"4,000,000",
27,18/07/2017,MObiquest,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private Equity,,
30,18/07/2017,Hypernova Interactive,Technology,Mobile games creator,Bangalore,Kae Capital,Seed Funding,,
33,19/07/2017,Playablo,Technology,Gamified Learning App,Bangalore,ABI-Showatech (India) Ltd,Seed Funding,"600,000",
34,20/07/2017,Trupay,Technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,"700,000",
35,21/07/2017,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,"200,000",
36,21/07/2017,FableStreet,eCommerce,Women Work wear etailer,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,,
37,21/07/2017,Monsoon Fintech,Technology,Machine Learning Access platform,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed Funding,,
41,26/07/2017,Creator’s Gurukul,Others,Co-Working Space Provider,New Delhi,Yuvraj Singh,Seed Funding,,
44,27/07/2017,1mg,eCommerce,Online Pharmacy,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,"15,000,000",
48,01/06/2017,Tripeur,Technology,Mobile based travel ERP platform,Bangalore,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Seed Funding,,
49,02/06/2017,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,TVS Motor Company,Private Equity,,
52,06/06/2017,Spinny,eCommerce,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,"1,000,000",
62,08/06/2017,Multiplier Solutions,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,"1,500,000",
63,08/06/2017,ABI Health,Technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,"1,500,000",
69,12/06/2017,Boxx.ai,Technology,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,"500,000",
70,12/06/2017,PeeSafe.in,Healthcare,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,"1,000,000",
80,16/06/2017,Goodbox,eCommerce,Mobile SAAS  eCommerce platform for SMEs,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,"1,000,000",
83,16/06/2017,EdgeFx,eCommerce,DIY project Kits seller,Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed Funding,,
85,16/06/2017,HealthIntel,Healthcare,Online Pharmacy,New Delhi,BLIP Initiatives,Seed Funding,,
90,21/06/2017,Fynd,eCommerce,Fashion etailer,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,"2,400,000",
101,26/06/2017,Flipkart,eCommerce,Online marketplace,Bangalore,Naspers,Private Equity,"71,000,000",
105,27/06/2017,Spares Hub,eCommerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,"311,000",
114,01/05/2017,Power2SME,eCommerce,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,"10,000,000",
116,02/05/2017,4tigo,Logistics,Truck Network company,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,"10,000,000",
127,08/05/2017,YepMe,eCommerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,"700,000",
130,08/05/2017,MyGreens,Food & Beverage,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,"1,000,000",
147,12/05/2017,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,"466,000",
154,17/05/2017,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding,"250,000",
155,17/05/2017,Paysense,Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,"5,300,000",
159,19/05/2017,EzCred,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,"1,000,000",
160,19/05/2017,HealthSutra,Food & Beverage,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,,
163,22/05/2017,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,"500,000",
165,23/05/2017,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,"6,600,000",
166,23/05/2017,The Print,Consumer Internet,News Portal,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,,
167,23/05/2017,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,"1,000,000",
168,24/05/2017,GenNext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,"580,000",
169,25/05/2017,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,"8,000,000",
170,26/05/2017,WhatsLoan,Consumer Internet,Online Lending mobile app,Bangalore,Lahiri Music’s family office,Seed Funding,,
171,29/05/2017,Cube Consumer Services,Consumer Internet,Finance management Mobile app,Mumbai,,Seed Funding,,
172,29/05/2017,Nivesh,Consumer Internet,Online MF investment platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,,
175,30/05/2017,Loadshare,Logistics,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,,
176,30/05/2017,SimpliLend,Consumer Internet,Online lending platform,New Delhi,Undisclosed Investors,Seed Funding,,
177,30/05/2017,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,"1,500,000",
178,30/05/2017,Swiggy,Consumer Internet,Online food delivery platform,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,"80,000,000",
179,31/05/2017,SastaSundar,eCommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,"5,000,000",
180,31/05/2017,Magicpin,Consumer Internet,Hyperlocal Discovery  & Rewards platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,"7,000,000",
181,01/04/2017,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,"3,800,000",
182,03/04/2017,Eruditus,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,"8,200,000",
183,03/04/2017,TestBook,Consumer Internet,Online Test Preparation Platform,Mumbai,Matrix Partners India,Private Equity,,
184,03/04/2017,Healthcare at Home,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,"40,000,000",
186,03/04/2017,SmartCoin,Consumer Internet,Micro Lending platform,Bangalore,Unicorn India Ventures & Others,Private Equity,,
187,04/04/2017,WayCool,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,"2,700,000",
191,04/04/2017,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,"500,000",
192,04/04/2017,Konsult App,Consumer Internet,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,"500,000",
193,05/04/2017,Credit Sudhaar,Consumer Internet,Credit Score Improvement platform,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,,
194,05/04/2017,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,"3,000,000",
196,06/04/2017,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,"21,000,000",
197,06/04/2017,Mech Mocha,Consumer Internet,Mobile gaming startup,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,"5,000,000",
198,07/04/2017,Startup Buddy,Consumer Internet,Startup Support Platform,Gurgaon,"YouWeCan Ventures,",Seed Funding,,
199,07/04/2017,QorQI,Healthcare,Online Healthcare provider,Noida,Paytm,Seed Funding,,
201,07/04/2017,PharmEasy,eCommerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,"18,000,000",
202,08/04/2017,WonderChef,eCommerce,Online marketplace for kitchen products,Mumbai,Labruyere Eberlé,Private Equity,,
203,08/04/2017,FastFox,Consumer Internet,Online rental discovery platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,"4,600,000",
205,10/04/2017,Capital Float,Consumer Internet,Online Lending Platform for SME,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,"2,300,000",
206,11/04/2017,Ninjacart,eCommerce,B2B agri-marketing platform,Bangalore,"Accel Partners, Nandan Nilekani’s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,"5,500,000",
209,12/04/2017,Clovia,eCommerce,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,"4,000,000",
210,12/04/2017,Emiza,Logistics,Third Party Logistics provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,"4,500,000",
215,13/04/2017,SafetyKart,eCommerce,Safety & Hygiene Products etailer,Gurgaon,Redcliffe Capital,Private Equity,,
221,17/04/2017,Raw Pressery,Food & Beverage,Raw Pressed Juices manufacturer,Mumbai,Jacqueline Fernandez,Seed Funding,,
222,17/04/2017,Snackible,Food & Beverage,Healthy Snacks manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,"175,000",
231,20/04/2017,Wooplr,eCommerce,Social Commerce  Fashion platform,Bangalore,Ankit Nagori,Private Equity,,
233,24/04/2017,Faasos,Food & Beverage,QSR chain and online food delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,"6,300,000",
236,24/04/2017,Niramai,Healthcare,Breast Cancer Screening Solutions,Bangalore,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,,
243,26/04/2017,StalkBuyLove,eCommerce,Online fashion marketplace,New Delhi,Trifecta Capital,Private Equity,"1,000,000",
255,01/03/2017,Paalak,eCommerce,Fresh Produce Selling portal,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed Funding,,
264,03/03/2017,Oho Shop,Technology,eCommerce Mobile App Builder,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,"6,700,000",
266,03/03/2017,Paytm Marketplace,eCommerce,eCommerce Marketplace,Bangalore,Alibaba,Private Equity,"200,000,000",
267,04/03/2017,iGenetics,Healthcare,Health Diagnostic Solutions,Mumbai,CDC Group Plc,Private Equity,"19,500,000",
271,07/03/2017,Agrostar,Technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,Accel Partners,Private Equity,"10,000,000",
272,07/03/2017,Zapr,Technology,"DSP, TV Analytics & Cross-Platform advertising",Bangalore,Star India Pvt Ltd,Private Equity,"10,000,000",
273,07/03/2017,Data Resolve,Technology,Cyber Security Solutions,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,"1,000,000",
276,08/03/2017,Rivigo,Logistics,Technology Enabled Logistics Company,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,"15,000,000",
277,08/03/2017,PipeCandy,Technology,Intelligent Sales Prospecting Platform,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,"1,100,000",
282,10/03/2017,PeeBuddy,Healthcare,Female Hygiene product manufacturer,New Delhi,Indian Angel Network,Seed Funding,"443,000",
283,10/03/2017,iOrderFresh,eCommerce,Online fresh fruits and grocery store,New Delhi,Singapore Angel Network,Seed Funding,,
284,10/03/2017,Lavelle Networks,Technology,SDN Solutions,Bangalore,Ideaspring Capital,Seed Funding,"600,000",
287,15/03/2017,LatestOne,eCommerce,Tech Accessories e-tailer,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private Equity,"3,350,000",
290,16/03/2017,ShilpMIS,Technology,Virtual Reality platform,Surat,"Puneet Gupta, Nimitt Desai & Others",Seed Funding,,
